time,S1,S2,S3,S4,S5
0.0,1.0e-6,1.5e-6,2.0e-6,5.0e-7,1.0e-6
0.04,9.389586620148839e-7,1.438958662014884e-6,2.061041337985116e-6,5.610413379851161e-7,1.0e-6
0.08,8.866966890742342e-7,1.3866966890742341e-6,2.1133033109257656e-6,6.133033109257658e-7,1.0e-6
0.12,8.417587220529789e-7,1.3417587220529787e-6,2.158241277947021e-6,6.582412779470211e-7,1.0e-6
0.16,8.029813641951787e-7,1.3029813641951786e-6,2.1970186358048213e-6,6.970186358048213e-7,1.0e-6
0.2,7.694147862228734e-7,1.2694147862228734e-6,2.2305852137771264e-6,7.305852137771266e-7,1.0e-6
0.24,7.402798853206236e-7,1.2402798853206236e-6,2.259720114679376e-6,7.597201146793763e-7,1.0e-6
0.28,7.149334652096586e-7,1.2149334652096586e-6,2.2850665347903413e-6,7.850665347903413e-7,1.0e-6
0.32,6.928368830440049e-7,1.1928368830440047e-6,2.307163116955995e-6,8.071631169559951e-7,1.0e-6
0.36,6.735399178815738e-7,1.1735399178815738e-6,2.326460082118426e-6,8.264600821184261e-7,1.0e-6
0.4,6.56661592217444e-7,1.156661592217444e-6,2.343338407782556e-6,8.43338407782556e-7,1.0e-6
0.44,6.418785084739693e-7,1.1418785084739693e-6,2.358121491526031e-6,8.581214915260307e-7,1.0e-6
0.48,6.289156193299042e-7,1.1289156193299042e-6,2.371084380670096e-6,8.710843806700957e-7,1.0e-6
0.52,6.175365991592203e-7,1.1175365991592204e-6,2.38246340084078e-6,8.824634008407796e-7,1.0e-6
0.56,6.075390110111664e-7,1.1075390110111666e-6,2.3924609889888338e-6,8.924609889888335e-7,1.0e-6
0.6,5.987480762012686e-7,1.0987480762012687e-6,2.4012519237987317e-6,9.012519237987314e-7,1.0e-6
0.64,5.910125815297249e-7,1.091012581529725e-6,2.4089874184702753e-6,9.08987418470275e-7,1.0e-6
0.68,5.842017707216306e-7,1.0842017707216306e-6,2.41579822927837e-6,9.157982292783693e-7,1.0e-6
0.72,5.782016729426828e-7,1.078201672942683e-6,2.4217983270573173e-6,9.217983270573171e-7,1.0e-6
0.76,5.729133239123256e-7,1.0729133239123257e-6,2.4270866760876747e-6,9.270866760876743e-7,1.0e-6
