time,S1_,S2_,S3_,S4_,S5_
0.0,1.0e-6,1.5e-6,2.0e-6,5.0e-7,1.0e-6
0.08,8.866960875437129e-7,1.3866960875437129e-6,2.113303912456287e-6,6.13303912456287e-7,1.0e-6
0.16,8.029811583850608e-7,1.3029811583850609e-6,2.197018841614939e-6,6.970188416149392e-7,1.0e-6
0.24,7.40279844627053e-7,1.2402798446270531e-6,2.2597201553729466e-6,7.59720155372947e-7,1.0e-6
0.32,6.928366892005076e-7,1.1928366892005076e-6,2.3071633107994918e-6,8.071633107994923e-7,1.0e-6
0.4,6.566613039325228e-7,1.156661303932523e-6,2.3433386960674766e-6,8.433386960674771e-7,1.0e-6
0.48,6.289153782702787e-7,1.1289153782702789e-6,2.3710846217297206e-6,8.710846217297213e-7,1.0e-6
0.56,6.075388573262868e-7,1.1075388573262868e-6,2.3924611426737125e-6,8.924611426737133e-7,1.0e-6
0.64,5.91012476367613e-7,1.091012476367613e-6,2.408987523632386e-6,9.08987523632387e-7,1.0e-6
0.72,5.782015667853749e-7,1.0782015667853747e-6,2.4217984332146246e-6,9.217984332146252e-7,1.0e-6
0.8,5.682502110775962e-7,1.0682502110775962e-6,2.431749788922403e-6,9.317497889224038e-7,1.0e-6
0.88,5.60507669581038e-7,1.060507669581038e-6,2.439492330418961e-6,9.394923304189621e-7,1.0e-6
0.96,5.544761243173377e-7,1.0544761243173375e-6,2.4455238756826616e-6,9.455238756826624e-7,1.0e-6
1.04,5.497728839255477e-7,1.049772883925548e-6,2.4502271160744516e-6,9.502271160744523e-7,1.0e-6
1.12,5.461026310384232e-7,1.0461026310384233e-6,2.453897368961576e-6,9.538973689615769e-7,1.0e-6
1.2,5.432367874854997e-7,1.0432367874854998e-6,2.4567632125144996e-6,9.567632125145004e-7,1.0e-6
1.28,5.409980139931816e-7,1.0409980139931817e-6,2.459001986006818e-6,9.590019860068185e-7,1.0e-6
1.36,5.39248469501305e-7,1.0392484695013051e-6,2.4607515304986944e-6,9.60751530498695e-7,1.0e-6
1.44,5.378808583294492e-7,1.0378808583294493e-6,2.4621191416705502e-6,9.621191416705508e-7,1.0e-6
1.52,5.368115664085447e-7,1.0368115664085447e-6,2.4631884335914546e-6,9.631884335914554e-7,1.0e-6
1.6,5.359753763844261e-7,1.035975376384426e-6,2.4640246236155733e-6,9.64024623615574e-7,1.0e-6
1.68,5.353213844683982e-7,1.0353213844683983e-6,2.464678615531601e-6,9.646786155316018e-7,1.0e-6
1.76,5.348098373098229e-7,1.034809837309823e-6,2.4651901626901762e-6,9.65190162690177e-7,1.0e-6
1.84,5.3440967620145e-7,1.0344096762014502e-6,2.465590323798549e-6,9.6559032379855e-7,1.0e-6
1.92,5.340966273193092e-7,1.0340966273193093e-6,2.46590337268069e-6,9.659033726806908e-7,1.0e-6
2.0,5.338517145485083e-7,1.0338517145485084e-6,2.466148285451491e-6,9.661482854514917e-7,1.0e-6
2.08,5.3366010026422e-7,1.0336601002642201e-6,2.4663398997357794e-6,9.6633989973578e-7,1.0e-6
2.16,5.335101808846036e-7,1.0335101808846035e-6,2.4664898191153956e-6,9.664898191153966e-7,1.0e-6
2.24,5.333928808407746e-7,1.0333928808407746e-6,2.4666071191592243e-6,9.666071191592255e-7,1.0e-6
2.32,5.333011010915505e-7,1.0333011010915505e-6,2.466698898908449e-6,9.666988989084496e-7,1.0e-6
2.4,5.332292882770754e-7,1.0332292882770753e-6,2.466770711722924e-6,9.667707117229248e-7,1.0e-6
2.48,5.331730978788716e-7,1.0331730978788717e-6,2.4668269021211276e-6,9.668269021211284e-7,1.0e-6
2.56,5.331291309498289e-7,1.033129130949829e-6,2.4668708690501703e-6,9.668708690501711e-7,1.0e-6
2.64,5.330947281889767e-7,1.0330947281889767e-6,2.4669052718110224e-6,9.669052718110234e-7,1.0e-6
2.72,5.330678089389613e-7,1.0330678089389614e-6,2.4669321910610377e-6,9.669321910610387e-7,1.0e-6
2.8,5.330467452522705e-7,1.0330467452522705e-6,2.4669532547477284e-6,9.669532547477296e-7,1.0e-6
2.88,5.330302633478486e-7,1.0330302633478486e-6,2.4669697366521507e-6,9.669697366521516e-7,1.0e-6
2.96,5.330173665655616e-7,1.0330173665655616e-6,2.4669826334344375e-6,9.669826334344386e-7,1.0e-6
3.04,5.330072750514013e-7,1.0330072750514013e-6,2.466992724948598e-6,9.669927249485989e-7,1.0e-6
3.12,5.329993785948494e-7,1.0329993785948494e-6,2.4670006214051497e-6,9.670006214051507e-7,1.0e-6
3.2,5.329931997338026e-7,1.0329931997338025e-6,2.4670068002661966e-6,9.670068002661976e-7,1.0e-6
3.28,5.329883648584129e-7,1.0329883648584129e-6,2.467011635141586e-6,9.670116351415873e-7,1.0e-6
3.36,5.329845816333241e-7,1.032984581633324e-6,2.467015418366675e-6,9.670154183666762e-7,1.0e-6
3.44,5.329816213074259e-7,1.0329816213074258e-6,2.4670183786925733e-6,9.670183786925744e-7,1.0e-6
3.52,5.329793048890858e-7,1.0329793048890858e-6,2.4670206951109135e-6,9.670206951109143e-7,1.0e-6
3.6,5.329774923214035e-7,1.0329774923214035e-6,2.4670225076785956e-6,9.670225076785967e-7,1.0e-6
3.68,5.329760740079544e-7,1.0329760740079544e-6,2.4670239259920447e-6,9.670239259920457e-7,1.0e-6
3.76,5.329749641939442e-7,1.0329749641939442e-6,2.467025035806055e-6,9.67025035806056e-7,1.0e-6
3.84,5.329740957777423e-7,1.0329740957777423e-6,2.467025904222257e-6,9.670259042222578e-7,1.0e-6
3.92,5.329734162507644e-7,1.0329734162507641e-6,2.4670265837492348e-6,9.67026583749236e-7,1.0e-6
4.0,5.32972884528554e-7,1.0329728845285539e-6,2.4670271154714455e-6,9.670271154714463e-7,1.0e-6
