time,k1,k2
0.0,0.00015,0.0
0.1,0.00014925187187890237,7.481281210976512e-7
0.2,0.0001470298009960148,2.9701990039852254e-6
0.3,0.0001433996222749666,6.600377725033396e-6
0.4,0.00013846745195800848,1.153254804199152e-5
0.5,0.00013237453538772275,1.7625464612277262e-5
0.6,0.00012529053171172295,2.470946828827707e-5
0.7,0.00011740568073639947,3.259431926360055e-5
0.8,0.00010892235556121014,4.107764443878987e-5
0.9,0.00010004652162883813,4.995347837116187e-5
1.0,9.097959895687493e-5,5.9020401043125074e-5
1.1,8.191116399587929e-5,6.808883600412071e-5
1.2,7.301283839303045e-5,7.698716160696953e-5
1.3,6.443360372287777e-5,8.556639627712221e-5
1.4,5.62966648141468e-5,9.370333518585319e-5
1.5,4.8697870091456124e-5,0.00010130212990854386
1.6,4.1705595052649856e-5,0.00010829440494735012
1.7,3.536191145800578e-5,0.00011463808854199421
1.8,2.9684804834224916e-5,0.00012031519516577506
1.9,2.46711684675854e-5,0.00012532883153241458
2.0,2.0300292451289906e-5,0.00012969970754871007
2.1,1.6537578763516538e-5,0.00013346242123648346
2.2,1.3338242598457758e-5,0.00013666175740154223
2.3,1.06508030333577e-5,0.00013934919696664228
2.4,8.42021440163915e-6,0.00014157978559836083
2.5,6.590540029508042e-6,0.00014340945997049192
2.6,5.107118192339235e-6,0.00014489288180766075
2.7,3.918211464248834e-6,0.00014608178853575115
2.8,2.976164204620298e-6,0.0001470238357953797
2.9,2.2381179013702816e-6,0.0001477618820986297
3.0,1.6663494744682514e-6,0.00014833365052553172
3.1,1.2283051490707955e-6,0.0001487716948509292
3.2,8.964034313960757e-7,0.0001491035965686039
3.3,6.476759999735711e-7,0.0001493523240000264
3.4,4.6330730971198224e-7,0.000149536692690288
3.5,3.281236669366994e-7,0.00014967187633306328
3.6,2.3007160141915074e-7,0.00014976992839858084
3.7,1.5971493519357948e-7,0.0001498402850648064
3.8,1.0977036277028448e-7,0.00014989022963722969
3.9,7.469331316511656e-8,0.00014992530668683486
4.0,5.031939421999712e-8,0.00014994968060577998
4.1,3.356186906697653e-8,0.000149966438130933
4.2,2.216225408052388e-8,0.0001499778377459195
4.3,1.4489012079815166e-8,0.00014998551098792018
4.4,9.378225603868119e-9,0.00014999062177439615
4.5,6.009794627414421e-9,0.0001499939902053726
4.6,3.81290200517357e-9,0.00014999618709799482
4.7,2.3950175969984014e-9,0.000149997604982403
4.8,1.4894256661347052e-9,0.00014999851057433388
4.9,9.170352055943772e-10,0.0001499990829647944
5.0,5.589979866295391e-10,0.00014999944100201336
