time,s,c
0.0,2.0,1.0
0.06,2.0,1.0304545339535176
0.12,2.0,1.0618365465453596
0.18,2.0,1.0941742837052102
0.24,2.0,1.1274968515793722
0.3,2.0,1.161834242728273
0.36,2.0,1.1972173631218128
0.42,2.0,1.2336780599566928
0.48,2.0,1.2712491503213705
0.54,2.0,1.3099644507331305
0.6,2.0,1.3498588075760154
0.66,2.0,1.3909681284638127
0.72,2.0,1.4333294145601878
0.78,2.0,1.476980793882163
0.84,2.0,1.5219615556179806
0.9,2.0,1.56831218548961
0.96,2.0,1.616074402192588
1.02,2.0,1.665291194945671
1.08,2.0,1.7160068621846067
1.14,2.0,1.7682670514332504
1.2,2.0,1.822118800389893
1.26,2.0,1.8776105792644282
1.32,2.0,1.9347923344024756
1.38,2.0,1.993715533243691
1.44,2.0,2.054433210643856
1.5,2.0,2.1170000166111276
1.56,2.0,2.181472265495309
1.62,2.0,2.2479079866733525
1.68,2.0,2.316366976778888
1.74,2.0,2.386910853523202
1.8,2.0,2.4596031111564307
1.86,2.0,2.5345091776172075
1.92,2.0,2.6116964734220502
1.98,2.0,2.6912344723492856
2.04,2.0,2.773194763966174
2.1,2.0,2.85765111806578
2.16,2.0,2.9446795510686745
2.22,2.0,3.0343583944389385
2.28,2.0,3.1267683651865505
2.34,2.0,3.22199263852382
2.4,2.0,3.3201169227277427
2.46,2.0,3.421229536280217
2.52,2.0,3.525421487358652
2.58,2.0,3.6327865557498153
2.64,2.0,3.7434213772601765
2.7,2.0,3.857425530696215
2.76,2.0,3.9749016274932196
2.82,2.0,4.095955404071207
2.88,2.0,4.22069581700003
2.94,2.0,4.349235141070789
3.0,2.0,4.481689070349096
