time,s_,c
0.0,2.0,1.0
0.04,2.0404026800535107,1.0202013400267553
0.08,2.081621548384748,1.040810774192374
0.12,2.1236730930907193,1.0618365465453596
0.16,2.1665741353499173,1.0832870676749586
0.2,2.210341836151294,1.105170918075647
0.24,2.2549937031587475,1.1274968515793737
0.28,2.3005475977144467,1.1502737988572234
0.32,2.347021741983607,1.1735108709918034
0.36,2.3944347262435994,1.1972173631217997
0.4,2.4428055163202247,1.2214027581601123
0.44,2.492153461174568,1.246076730587284
0.48,2.5424983006423574,1.2712491503211787
0.52,2.593860173331548,1.296930086665774
0.56,2.646259624674912,1.323129812337456
0.6,2.699717615152024,1.349858807576012
0.64,2.754255528671769,1.3771277643358846
0.68,2.8098951811267736,1.4049475905633868
0.72,2.86665882912001,1.433329414560005
0.76,2.9245691788676558,1.4622845894338279
0.8,2.9836493952818057,1.4918246976409029
0.84,3.04392311123671,1.521961555618355
0.88,3.1054144370222683,1.5527072185111341
0.92,3.1681479699887056,1.5840739849943528
0.96,3.232148804385482,1.616074402192741
1.0,3.2974425414001103,1.6487212707000551
1.04,3.364055299397444,1.682027649698722
1.08,3.432013724369359,1.7160068621846796
1.12,3.501345000592116,1.750672500296058
1.16,3.572076861498883,1.7860384307494415
1.2,3.6442376007814996,1.8221188003907498
1.24,3.7178560836933623,1.8589280418466811
1.28,3.7929617586107307,1.8964808793053654
1.32,3.869584668804397,1.9347923344021984
1.36,3.9477554644599078,1.9738777322299539
1.4,4.0275054149381635,2.0137527074690817
1.44,4.108866421283322,2.054433210641661
1.48,4.191871028983329,2.0959355144916647
1.52,4.276552440988266,2.138276220494133
1.56,4.362944530991937,2.1814722654959686
1.6,4.451081856981732,2.225540928490866
1.64,4.540999675062864,2.270499837531432
1.68,4.632733953561001,2.3163669767805004
1.72,4.726321387410309,2.3631606937051544
1.76,4.821799412833241,2.4108997064166204
1.8,4.919206222311966,2.459603111155983
1.84,5.018580779870712,2.509290389935356
1.88,5.119962836658585,2.5599814183292926
1.92,5.223392946847962,2.611696473423981
1.96,5.328912483862607,2.6644562419313034
2.0,5.436563656922202,2.718281828461101
