time,S1_,k1
0.0,1.0,1.0
0.01,1.0099504938362045,1.0
0.02,1.0198039027185535,1.0
0.03,1.0295630140987033,1.0
0.04,1.0392304845413263,1.0
0.05,1.0488088481701425,1.0
0.06,1.058300524425819,1.0
0.07,1.0677078252031016,1.0
0.08,1.0770329614268699,1.0
0.09,1.0862780491200232,1.0
0.1,1.0954451150102862,1.0
0.11,1.1045361017187036,1.0
0.12,1.1135528725658899,1.0
0.13,1.1224972160320568,1.0
0.14,1.1313708498984514,1.0
0.15,1.1401754250992193,1.0
0.16,1.1489125293076958,1.0
0.17,1.157583690279012,1.0
0.18,1.1661903789689099,1.0
0.19,1.1747340124468277,1.0
0.2,1.183215956619661,1.0
0.21,1.1916375287810719,1.0
0.22,1.1999999999998086,1.0
0.23,1.2083045973592468,1.0
0.24,1.2165525060594387,1.0
0.25,1.2247448713914626,1.0
0.26,1.2328828005936192,1.0
0.27,1.2409673645990913,1.0
0.28,1.2489995996796224,1.0
0.29,1.2569805089974802,1.0
0.3,1.2649110640670544,1.0
0.31,1.272792206135481,1.0
0.32,1.2806248474863895,1.0
0.33,1.288409872672511,1.0
0.34,1.2961481396817036,1.0
0.35,1.3038404810406798,1.0
0.36,1.311487704860442,1.0
0.37,1.3190905958271457,1.0
0.38,1.326649916141811,1.0
0.39,1.3341664064121366,1.0
0.4,1.341640786499305,1.0
0.41,1.3490737563226622,1.0
0.42,1.3564659966245596,1.0
0.43,1.3638181696981513,1.0
0.44,1.3711309200797976,1.0
0.45,1.3784048752086249,1.0
0.46,1.3856406460546733,1.0
0.47,1.3928388277180195,1.0
0.48,1.3999999999998256,1.0
0.49,1.407124727946712,1.0
0.5,1.4142135623727226,1.0
0.51,1.421267040355058,1.0
0.52,1.4282856857083897,1.0
0.53,1.4352700094404258,1.0
0.54,1.4422205101851666,1.0
0.55,1.4491376746184697,1.0
0.56,1.456021977855688,1.0
0.57,1.4628738838325046,1.0
0.58,1.469693845669804,1.0
0.59,1.4764823060233838,1.0
0.6,1.483239697419252,1.0
0.61,1.4899664425752361,1.0
0.62,1.496662954709573,1.0
0.63,1.5033296378371168,1.0
0.64,1.5099668870537812,1.0
0.65,1.516575088809759,1.0
0.66,1.5231546211720968,1.0
0.67,1.5297058540770627,1.0
0.68,1.536229149572937,1.0
0.69,1.54272486205341,1.0
0.7,1.5491933384822725,1.0
0.71,1.5556349186097909,1.0
0.72,1.5620499351807595,1.0
0.73,1.5684387141352185,1.0
0.74,1.574801574801756,1.0
0.75,1.581138830083617,1.0
0.76,1.5874507866382348,1.0
0.77,1.59373774505049,1.0
0.78,1.5999999999995747,1.0
0.79,1.6062378404205278,1.0
0.8,1.6124515496593843,1.0
0.81,1.618641405623624,1.0
0.82,1.6248076809269594,1.0
0.83,1.6309506430297327,1.0
0.84,1.6370705543741113,1.0
0.85,1.6431676725149986,1.0
