time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P13,P14,P15,P16,P18,P19,P20,P22,P24,P25,P26,P29,P31,P32,P34,P35,P37,P38,P39,P40,P41,P42,P43,P44
0.0,0.0,0.0,0.0,1.5707963267948966,1.5707963267948966,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0,-0.0,2.0,-2.0,0.0,0.0,2.0,2.0,2.0,0.0
0.1,0.1,0.1,0.1,1.4706289056333368,1.6709637479564565,0.1001674211615598,-0.1001674211615598,0.09966865249116204,-0.09966865249116204,1.0,-0.0,0.9950041652780258,0.9950041652780258,1.1051709180756477,0.9048374180359595,0.0,-1.0,0.09531017980432493,0.04139268515822507,0.010000000000000002,1.0717734625362931,0.7943282347242815,0.31622776601683794,0.09983341664682815,-0.09983341664682815,0.10033467208545055,-0.10033467208545055,2.1,-1.9,0.05,0.30000000000000004,2.1,1.9,1.8181818181818181,0.30000000000000004
0.2,0.2,0.2,0.2,1.369438406004566,1.7721542475852274,0.2013579207903308,-0.2013579207903308,0.19739555984988078,-0.19739555984988078,1.0,-0.0,0.9800665778412416,0.9800665778412416,1.2214027581601699,0.8187307530779818,0.0,-1.0,0.1823215567939546,0.0791812460476248,0.04000000000000001,1.148698354997035,0.7247796636776955,0.4472135954999579,0.19866933079506122,-0.19866933079506122,0.2027100355086725,-0.2027100355086725,2.2,-1.8,0.1,0.6000000000000001,2.2,1.8,1.6666666666666667,0.6000000000000001
0.3,0.3,0.3,0.3,1.2661036727794992,1.8754889808102941,0.3046926540153975,-0.3046926540153975,0.2914567944778671,-0.2914567944778671,1.0,-0.0,0.955336489125606,0.955336489125606,1.3498588075760032,0.7408182206817179,0.0,-1.0,0.26236426446749106,0.11394335230683676,0.09,1.2311444133449163,0.696845301935949,0.5477225575051661,0.29552020666133955,-0.29552020666133955,0.30933624960962325,-0.30933624960962325,2.3,-1.7,0.15,0.8999999999999999,2.3,1.7,1.5384615384615383,0.8999999999999999
0.4,0.4,0.4,0.4,1.1592794807274085,1.9823131728623846,0.41151684606748806,-0.41151684606748806,0.3805063771123649,-0.3805063771123649,1.0,-0.0,0.9210609940028851,0.9210609940028851,1.4918246976412703,0.6703200460356393,0.0,-1.0,0.3364722366212129,0.14612803567823798,0.16000000000000003,1.3195079107728942,0.6931448431551464,0.6324555320336759,0.3894183423086505,-0.3894183423086505,0.4227932187381618,-0.4227932187381618,2.4,-1.6,0.2,1.2000000000000002,2.4,1.6,1.4285714285714286,1.2000000000000002
0.5,0.5,0.5,0.5,1.0471975511965979,2.0943951023931957,0.5235987755982989,-0.5235987755982989,0.4636476090008061,-0.4636476090008061,1.0,-0.0,0.8775825618903728,0.8775825618903728,1.6487212707001282,0.6065306597126334,0.0,-1.0,0.4054651081081644,0.17609125905568124,0.25,1.4142135623730951,0.7071067811865476,0.7071067811865476,0.479425538604203,-0.479425538604203,0.5463024898437905,-0.5463024898437905,2.5,-1.5,0.25,1.5,2.5,1.5,1.3333333333333333,1.5
0.6,0.6,0.6,0.6,0.9272952180016123,2.214297435588181,0.6435011087932844,-0.6435011087932844,0.5404195002705842,-0.5404195002705842,1.0,-0.0,0.8253356149096783,0.8253356149096783,1.8221188003905089,0.5488116360940265,0.0,-1.0,0.47000362924573563,0.2041199826559248,0.36,1.515716566510398,0.7360219228178333,0.7745966692414834,0.5646424733950354,-0.5646424733950354,0.6841368083416923,-0.6841368083416923,2.6,-1.4,0.3,1.7999999999999998,2.6,1.4,1.25,1.7999999999999998
0.7,0.7,0.7,0.7,0.7953988301841436,2.34619382340565,0.775397496610753,-0.775397496610753,0.6107259643892086,-0.6107259643892086,1.0,-0.0,0.7648421872844885,0.7648421872844885,2.0137527074704766,0.4965853037914095,0.0,-1.0,0.5306282510621704,0.23044892137827389,0.48999999999999994,1.624504792712471,0.779055912670449,0.8366600265340756,0.644217687237691,-0.644217687237691,0.8422883804630794,-0.8422883804630794,2.7,-1.3,0.35,2.0999999999999996,2.7,1.3,1.1764705882352942,2.0999999999999996
0.8,0.8,0.8,0.8,0.6435011087932843,2.498091544796509,0.9272952180016123,-0.9272952180016123,0.6747409422235527,-0.6747409422235527,1.0,-0.0,0.6967067093471654,0.6967067093471654,2.225540928492468,0.44932896411722156,0.0,-1.0,0.5877866649021191,0.25527250510330607,0.6400000000000001,1.7411011265922482,0.8365116420730186,0.8944271909999159,0.7173560908995228,-0.7173560908995228,1.0296385570503641,-1.0296385570503641,2.8,-1.2,0.4,2.4000000000000004,2.8,1.2,1.1111111111111112,2.4000000000000004
0.9,0.9,0.9,0.9,0.45102681179626236,2.6905658417935308,1.1197695149986342,-1.1197695149986342,0.7328151017865066,-0.7328151017865066,1.0,-0.0,0.6216099682706644,0.6216099682706644,2.45960311115695,0.4065696597405991,0.0,-1.0,0.6418538861723947,0.2787536009528289,0.81,1.8660659830736148,0.9095325760829622,0.9486832980505138,0.7833269096274834,-0.7833269096274834,1.2601582175503392,-1.2601582175503392,2.9,-1.1,0.45,2.7,2.9,1.1,1.0526315789473684,2.7
