time,A_,B_,C_
0.0,1.0,0.0,0.0
0.2,0.8187307530779818,0.16374615061559653,0.017523096306421536
0.4,0.6703200460356391,0.2681280184142559,0.06155193555010486
0.6,0.5488116360942263,0.32928698165630793,0.12190138224946562
0.8,0.4493289641172359,0.3594631712936821,0.19120786458908182
1.0,0.3678794411714587,0.3678794411713013,0.2642411176572399
1.2,0.3011942119122541,0.36143305429408634,0.3373727337936595
1.4,0.2465969639416669,0.34523574951773006,0.4081672865406029
1.6,0.2018965179950214,0.32303442878810823,0.4750690532168703
1.8,0.16529888822187988,0.29753799879704595,0.537163112981074
2.0,0.1353352832368696,0.27067056647177495,0.5939941502913553
