time,S1_,S2_,S3_,S4_,S5_,S6_,S7_,S8_,p1,p2,p3,p4,p5,p6,p7,p8,comp1,comp2
0.0,10.0,20.0,3.0,4.0,50.0,60.0,7.0,8.0,1.0,20.0,0.3,4.0,5.0,60.0,0.7,8.0,10.0,10.0
1.0,10.0,20.0,3.0,4.0,55.0,60.0,7.699999999999999,8.0,1.0,20.0,0.3,4.0,5.0,60.0,0.7,8.0,10.0,11.0
2.0,10.0,20.0,3.0,4.0,59.999999999999964,60.0,8.399999999999995,8.0,1.0,20.0,0.3,4.0,5.0,60.0,0.7,8.0,10.0,11.999999999999993
3.0,10.0,20.0,3.0,4.0,64.99999999999993,60.0,9.099999999999989,8.0,1.0,20.0,0.3,4.0,5.0,60.0,0.7,8.0,10.0,12.999999999999986
4.0,10.0,20.0,3.0,4.0,69.99999999999974,60.0,9.799999999999965,8.0,1.0,20.0,0.3,4.0,5.0,60.0,0.7,8.0,10.0,13.99999999999995
5.0,10.0,20.0,3.0,4.0,74.99999999999889,60.0,10.499999999999845,8.0,1.0,20.0,0.3,4.0,5.0,60.0,0.7,8.0,10.0,14.99999999999978
6.0,10.0,20.0,3.0,4.0,79.9999999999931,60.0,11.199999999999031,8.0,1.0,20.0,0.3,4.0,5.0,60.0,0.7,8.0,10.0,15.999999999998618
7.0,10.0,20.0,3.0,4.0,84.99999999998984,60.0,11.899999999998577,8.0,1.0,20.0,0.3,4.0,5.0,60.0,0.7,8.0,10.0,16.999999999997968
8.0,10.0,20.0,3.0,4.0,89.99999999997209,60.0,12.599999999996092,8.0,1.0,20.0,0.3,4.0,5.0,60.0,0.7,8.0,10.0,17.99999999999442
9.0,10.0,20.0,3.0,4.0,94.99999999991971,60.0,13.299999999988758,8.0,1.0,20.0,0.3,4.0,5.0,60.0,0.7,8.0,10.0,18.99999999998394
10.0,10.0,20.0,3.0,4.0,100.0,60.0,14.0,8.0,1.0,20.0,0.3,4.0,5.0,60.0,0.7,8.0,10.0,20.0
