time,S1_,S2_,c,k1
0.0,0.0,0.0,1.0,1.0
1.0,0.9999999999999972,1.9999999999999944,1.0,1.0
2.0,1.9999999999992217,3.9999999999984435,1.0,1.0
3.0,2.9999999999999996,5.999999999999999,1.0,1.0
4.0,3.999999999999994,7.999999999999988,1.0,1.0
5.0,4.9999999999999885,9.999999999999977,1.0,1.0
6.0,5.999999999999865,11.99999999999973,1.0,1.0
7.0,6.999999999999427,13.999999999998854,1.0,1.0
8.0,7.999999999998455,15.99999999999691,1.0,1.0
9.0,8.999999999999853,17.999999999999705,1.0,1.0
10.0,10.0,20.0,1.0,1.0
