time,pp9_mrna_,p9_,pp8_mrna_,p8_,pp7_mrna_,p7_,pp6_mrna_,p6_,pp5_mrna_,p5_,pp4_mrna_,p4_,pp3_mrna_,p3_,pp2_mrna_,p2_,pp1_mrna_,p1_,DefaultCompartment,pp8_mrna_degradation_rate,pp9_mrna_degradation_rate,p1_degradation_rate,p2_degradation_rate,p3_degradation_rate,p4_degradation_rate,p5_degradation_rate,p6_degradation_rate,p7_degradation_rate,p8_degradation_rate,p9_degradation_rate,v1_Kd,v1_h,v2_Kd,v2_h,v3_Kd,v3_h,v4_Kd,v4_h,v5_Kd,v5_h,v6_Kd,v6_h,v7_Kd,v7_h,v8_Kd,v8_h,v9_Kd,v9_h,pp1_mrna_degradation_rate,pp2_mrna_degradation_rate,pro1_strength,pro2_strength,pro3_strength,pro4_strength,pro5_strength,pro6_strength,pro7_strength,pro8_strength,pro9_strength,pp3_mrna_degradation_rate,v10_Kd,v10_h,v11_Kd,v11_h,v12_Kd,v12_h,v13_Kd,v13_h,pp4_mrna_degradation_rate,v14_Kd,v14_h,v15_Kd,v15_h,pp5_mrna_degradation_rate,rbs1_strength,rbs2_strength,rbs3_strength,rbs4_strength,rbs5_strength,rbs6_strength,rbs7_strength,rbs8_strength,rbs9_strength,pp6_mrna_degradation_rate,pp7_mrna_degradation_rate,as8,cod1,cod2,cod3,cod4,cod5,cod6,cod7,cod8,cod9,rs1,rs2,rs3,rs4,rs5,rs6,rs7,as1,as2,as3,as4,as5,as6,as7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,0.0,2.0,1.3958320431039817,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30965504428067125,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1745841453545e-13,1.589338095156392e-16,0.04975066562678212,0.0005497446247340486,0.04975066562678212,0.00019900257908924836,0.013864789578723785,9.781676943027779e-5,0.019900332501663873,4.975098893097184,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,0.0,2.0,1.391025661678342,4.999950249850247,4.999950249850247,2.8542612716156327e-10,0.0,0.0,0.0,0.0,1.0,1.0,0.9999900499700495,1.0,1.0,1.0,0.9999900499700495,0.3085887840092158,5.708522543231265e-11,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5948010099156852e-10,1.5988681580042188e-13,0.09900531672339383,0.0021880138086765324,0.09900531672339383,0.0007920411977109619,0.027543913862806458,0.0003888695528798115,0.039602653386489384,4.950394430067953,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,0.0,2.0,1.3862425418821716,4.999801997541763,4.999801997541763,7.162262791282318e-8,0.0,0.0,0.0,0.0,1.0,0.9999999999999771,0.9999603995083755,1.0,1.0,0.9999999999999771,0.9999603995083755,0.3075276841586999,1.4324525582564634e-8,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01561527619246e-9,9.057973276263463e-12,0.14776791605348694,0.004898487712005345,0.14776791605348694,0.0017732082215403968,0.0410394514706966,0.0008695975213297176,0.05910893290298118,4.92588490926646,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,0.0,2.0,1.3814826355596543,4.9995567372416145,4.999556737241615,1.7992767051858195e-6,0.0,0.0,0.0,0.0,1.0,0.9999999999994282,0.9999113474488946,1.0,1.0,0.9999999999994282,0.9999113474488946,0.30647173404611094,3.598553410371639e-7,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.86107298654299e-8,1.5802498051100302e-10,0.19604240179610055,0.00866501497736129,0.19604240179610055,0.0031366570053796526,0.0543534598543167,0.0015364866957542358,0.07842112169535634,4.901568644706719,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,0.0,2.0,1.3767458935991765,4.999215958684223,4.999215958684223,1.76167488276604e-5,0.0,0.0,0.0,0.0,1.0,0.9999999999944267,0.999843191742417,1.0,1.0,0.9999999999944267,0.999843191742417,0.30542092277639965,3.52334976553208e-6,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.746765511579899e-7,1.4458836409455262e-9,0.24383268774364752,0.013471611349762934,0.24383268774364752,0.004876601393579341,0.0674879755002141,0.002386069417126712,0.0975411509985605,4.877443965913186,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,0.0,2.0,1.3720322659503865,4.9987811466826235,4.9987811466826235,0.00010292461761270878,0.0,0.0,0.0,0.0,1.0,0.9999999999675859,0.9997562293689309,1.0,1.0,0.9999999999675859,0.9997562293689309,0.30437523924626453,2.0584923522541757e-5,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90935345173542e-6,8.795263856618098e-9,0.29114266349321155,0.019302458307726415,0.29114266349321155,0.006987315224516351,0.08044501412898761,0.0034149238218916488,0.11647093283150087,4.8535092177726105,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,0.0,2.0,1.367341701641118,4.99825378058317,4.998253780583169,0.00043377331882911446,0.0,0.0,0.0,0.0,1.0,0.9999999998640046,0.9996507562525818,1.0,1.0,0.9999999998640046,0.9996507562525818,0.3033346721479065,8.67546637658229e-5,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1429543744762906e-5,4.0364897969558786e-8,0.33797619462942485,0.02614190170528185,0.33797619462942485,0.009463131839016054,0.09322657089272443,0.004619673322834106,0.13521236018810348,4.829762760387636,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,0.0,2.0,1.362674148794278,4.997635333620458,4.997635333620457,0.0014590560663445683,0.0,0.0,0.0,0.0,1.0,0.9999999995445454,0.9995270671793307,1.0,1.0,0.9999999995445454,0.9995270671793307,0.30229920997277504,0.00029181121326891365,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.728994516881568e-5,1.5071936183956453e-7,0.3843371228990548,0.033974450424770174,0.3843371228990548,0.01229844359267699,0.10583462057081723,0.005996986095315617,0.15376730722672846,4.80620296893151,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,0.0,2.0,1.3580295546445749,4.996927272123363,4.996927272123363,0.004160047554346993,0.0,0.0,0.0,0.0,1.0,0.999999998706602,0.9993854557172759,1.0,1.0,0.999999998706602,0.9993854557172759,0.3012688410152794,0.0008320095108693985,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010554430827837757,4.806720546199191e-7,0.4302292663746027,0.04278477504004802,0.4302292663746026,0.015487701371963087,0.11827111776389199,0.007543574568806254,0.17213762945754413,4.782828233504396,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.147,1.0,1.0,4.0,20.0,1.0,0.2,4.0,0.2,4.0,0.04,4.0,0.02,4.0,0.04,4.0,0.2,4.0,1.0,1.0,2.0,4.5077,5.0,5.0,5.0,1.31,1.31,5.0,5.0,1.0,0.02,4.0,0.1,2.0,0.1,2.0,0.01,2.0,1.0,1.0,4.0,20.0,1.0,1.0,0.3668,1.4102,0.8,2.21,0.5,2.0,5.0,3.6377,8.0,1.0,1.0,0.0,2.0,1.3534078655551762,4.996131054519431,4.996131054519431,0.010449570613429274,0.0,0.0,0.0,0.0,1.0,0.9999999967617621,0.9992262141396184,1.0,1.0,0.9999999967617621,0.9992262141396184,0.30024355337648384,0.002089914122685855,0.0,0.0,0.0,0.0,0.0
