time,S1_,S2_,S3_,S4_,C,k1,k2
0.0,3.0,3.0,4.0,4.0,1.0,0.5,-0.5
1.0,0.2845552390623096,5.7154447609376895,7.856110320308973,0.14388967969102662,1.0,0.5,-0.5
2.0,0.014835738940611694,5.985164261059388,7.997317198956115,0.0026828010438849402,1.0,0.5,-0.5
3.0,0.0007403674559845936,5.999259632544015,7.999950846603194,4.91533968080581e-5,1.0,0.5,-0.5
4.0,3.6865047617564135e-5,5.999963134952383,7.999999099718705,9.002812957177851e-7,1.0,0.5,-0.5
5.0,1.8354133618271615e-6,5.999998164586639,7.999999983510772,1.648922892116301e-8,1.0,0.5,-0.5
6.0,9.13798770836171e-8,5.999999908620125,7.999999999697991,3.020107606882674e-10,1.0,0.5,-0.5
7.0,4.549536254159341e-9,5.999999995450466,7.99999999999447,5.531519929274192e-12,1.0,0.5,-0.5
8.0,2.2650807163642346e-10,5.999999999773495,7.9999999999999,1.0131330556951499e-13,1.0,0.5,-0.5
9.0,1.127717257455173e-11,5.999999999988725,7.999999999999999,1.855614152232214e-15,1.0,0.5,-0.5
10.0,5.614580031384379e-13,5.999999999999441,8.0,3.400126206271452e-17,1.0,0.5,-0.5
